xi,ti,ci
0.7,3.2,0.005256858
0.7,3.3,0.005295714
0.7,3.4,0.005332814
0.7,3.5,0.005368671
0.7,3.6000001,0.005403125
0.7,3.7,0.005436174
0.7,3.8,0.005467919
0.7,3.9,0.005498541
0.7,4,0.005528132
0.7,4.1,0.005556481
0.7,4.2,0.005583739
0.7,4.3,0.005610078
0.7,4.4,0.005635243
0.7,4.5,0.005659646
0.7,4.6,0.005683265
0.7,4.7,0.00570591
0.7,4.8,0.005727807
0.7,4.9,0.005749025
0.7,5,0.005769617
0.7,5.1000004,0.005789635
0.7,5.2000003,0.005808991
0.7,5.3,0.005827982
0.7,5.4,0.00584627
0.7,5.5,0.005864346
0.7,5.6,0.005881826
0.7,5.7,0.005899091
0.7,5.7999997,0.005916347
0.7,5.9,0.005932878
0.7,6,0.005949435
0.7,6.1,0.005965752
0.7,6.2,0.005981945
0.7,6.2999997,0.005998084
0.7,6.4,0.006014182
0.7,6.5,0.006030249
0.7,6.6,0.00604615
0.7,6.7000003,0.006062273
0.7,6.8,0.006078444
0.7,6.9,0.006094718
0.7,7,0.00611118
0.7,7.1,0.0061277
0.7,7.2,0.006144395
0.7,7.2999997,0.006161317
0.7,7.3999996,0.006178541
0.7,7.5,0.006195963
0.7,7.6,0.006213496
0.7,7.7,0.006231595
0.7,7.7999997,0.006249798
0.7,7.8999996,0.00626849
0.7,8,0.006287452
0.7,8.1,0.006306874
0.7,8.2,0.006326416
0.7,8.3,0.006346757
0.7,8.4,0.00636722
0.7,8.5,0.006388251
0.7,8.6,0.006409728
0.7,8.7,0.006431605
0.7,8.8,0.006453898
0.7,8.900001,0.006476611
0.7,9,0.00649994
0.7,9.1,0.006523758
0.7,9.2,0.006547954
0.7,9.3,0.00657264
0.7,9.400001,0.006597959
0.7,9.5,0.0066238
0.7,9.6,0.006650109
0.7,9.7,0.006676888
0.7,9.8,0.006704135
0.7,9.9,0.006732197
0.7,10,0.006760542
0.8,0,0.000183902
0.8,0.1,0.000329152
0.8,0.2,0.000867313
0.8,0.3,0.001502943
0.8,0.4,0.002115879
0.8,0.5,0.002663521
0.8,0.6,0.003136094
0.8,0.7,0.003537639
0.8,0.8,0.0038772
0.8,0.90000004,0.004164364
0.8,1,0.004408279
0.8,1.1,0.004617004
0.8,1.2,0.004797348
0.8,1.3,0.004954577
0.8,1.4,0.005093241
0.8,1.5,0.005216914
0.8,1.6,0.005328352
0.8,1.7,0.005429999
0.8,1.8000001,0.005523241
0.8,1.9,0.005609809
0.8,2,0.005690624
0.8,2.1,0.005766446
0.8,2.2,0.005838286
0.8,2.3,0.005906413
0.8,2.4,0.005971375
0.8,2.5,0.006033276
0.8,2.6000001,0.006092612
0.8,2.7,0.006149457
0.8,2.8000002,0.006204137
0.8,2.9,0.006256728
0.8,3,0.006307293
0.8,3.1000001,0.006355891
0.8,3.2,0.006402684
0.8,3.3,0.006447861
0.8,3.4,0.006491247
0.8,3.5,0.006533092
0.8,3.6000001,0.00657341
0.8,3.7,0.006612234
0.8,3.8,0.006649678
0.8,3.9,0.00668569
0.8,4,0.006720439
0.8,4.1,0.00675383
0.8,4.2,0.006786283
0.8,4.3,0.006817572
0.8,4.4,0.006847665
0.8,4.5,0.006876818
0.8,4.6,0.006904982
0.8,4.7,0.006932293
0.8,4.8,0.006958758
0.8,4.9,0.00698428
0.8,5,0.007009224
0.8,5.1000004,0.007033467
0.8,5.2000003,0.007056979
0.8,5.3,0.007079877
0.8,5.4,0.007102315
0.8,5.5,0.007124349
0.8,5.6,0.007145643
0.8,5.7,0.007166778
0.8,5.7999997,0.007187541
0.8,5.9,0.007208072
0.8,6,0.007228293
0.8,6.1,0.00724816
0.8,6.2,0.007268021
0.8,6.2999997,0.007287595
0.8,6.4,0.007307236
0.8,6.5,0.007326602
0.8,6.6,0.007346236
0.8,6.7000003,0.007365679
0.8,6.8,0.007385104
0.8,6.9,0.007404648
0.8,7,0.007424186
0.8,7.1,0.007443922
0.8,7.2,0.007464125
0.8,7.2999997,0.007484119
0.8,7.3999996,0.007504401
0.8,7.5,0.007525015
0.8,7.6,0.007545779
0.8,7.7,0.007566869
0.8,7.7999997,0.00758832
0.8,7.8999996,0.007609972
0.8,8,0.007632055
0.8,8.1,0.00765439
0.8,8.2,0.007677163
0.8,8.3,0.007700181
0.8,8.4,0.0077238
0.8,8.5,0.007747814
0.8,8.6,0.007772135
0.8,8.7,0.007797033
0.8,8.8,0.00782218
0.8,8.900001,0.00784804
0.8,9,0.007874289
0.8,9.1,0.007900884
0.8,9.2,0.007928181
0.8,9.3,0.00795587
0.8,9.400001,0.007984065
0.8,9.5,0.008012651
0.8,9.6,0.008041943
0.8,9.7,0.008071768
0.8,9.8,0.008101986
0.8,9.9,0.008132776
0.8,10,0.008163973
0.90000004,0,0.000302219
0.90000004,0.1,0.000440652
0.90000004,0.2,0.001080472
0.90000004,0.3,0.001846747
0.90000004,0.4,0.002587745
0.90000004,0.5,0.003250155
0.90000004,0.6,0.003821707
0.90000004,0.7,0.004307224
0.90000004,0.8,0.004717317
0.90000004,0.90000004,0.005063786
0.90000004,1,0.00535771
0.90000004,1.1,0.005608949
0.90000004,1.2,0.005825217
0.90000004,1.3,0.006013661
0.90000004,1.4,0.006179166
0.90000004,1.5,0.006326336
0.90000004,1.6,0.006458488
0.90000004,1.7,0.006578569
0.90000004,1.8000001,0.006688276
0.90000004,1.9,0.006789921
0.90000004,2,0.006884242
0.90000004,2.1,0.006972868
0.90000004,2.2,0.007056191
0.90000004,2.3,0.007135135
0.90000004,2.4,0.007210239
0.90000004,2.5,0.007281865
0.90000004,2.6000001,0.007350189
0.90000004,2.7,0.007415853
0.90000004,2.8000002,0.007478745
0.90000004,2.9,0.007539072
0.90000004,3,0.007597165
0.90000004,3.1000001,0.007653174
0.90000004,3.2,0.007706955
0.90000004,3.3,0.007758875
0.90000004,3.4,0.007808866
0.90000004,3.5,0.007857046
0.90000004,3.6000001,0.007903501
0.90000004,3.7,0.007948415
0.90000004,3.8,0.007991565
0.90000004,3.9,0.008033326
0.90000004,4,0.008073471
0.90000004,4.1,0.008112432
0.90000004,4.2,0.008149896
0.90000004,4.3,0.008186357
0.90000004,4.4,0.008221475
0.90000004,4.5,0.008255466
0.90000004,4.6,0.008288428
0.90000004,4.7,0.008320244
0.90000004,4.8,0.008351248
0.90000004,4.9,0.008381308
0.90000004,5,0.008410493
0.90000004,5.1000004,0.008438958
0.90000004,5.2000003,0.008466577
0.90000004,5.3,0.008493565
0.90000004,5.4,0.008520062
0.90000004,5.5,0.008545955
0.90000004,5.6,0.008571305
0.90000004,5.7,0.008596175
0.90000004,5.7999997,0.008620719
0.90000004,5.9,0.008644717
0.90000004,6,0.008668445
0.90000004,6.1,0.008691957
0.90000004,6.2,0.008715298
0.90000004,6.2999997,0.008738408
0.90000004,6.4,0.008761303
0.90000004,6.5,0.008784058
0.90000004,6.6,0.008806842
0.90000004,6.7000003,0.008829583
0.90000004,6.8,0.008852264
0.90000004,6.9,0.008874966
